Wall time,Step,Value
1693493465.394055,4,-100.0
1693493539.223703,14,-100.96134185791016
1693493541.99781,15,-100.0
1693493589.546443,18,-135.8910675048828
1693493591.418547,19,-100.0
1693493597.232996,22,-100.0
1693493605.444763,26,-100.0
1693493608.721358,27,-100.97522735595703
1693493707.584055,40,-92.166748046875
1693493745.738888,47,-100.0
1693493791.472551,48,-126.90668487548828
1693493801.213878,49,-89.69246673583984
1693493860.799102,54,-111.40106201171875
1693493946.584517,62,-124.88944244384766
1693494031.82389,63,-48.393550872802734
1693494062.319993,66,-100.0
1693494067.088687,67,-93.62242889404297
1693494104.729986,70,-92.61065673828125
1693494109.866692,71,-100.0
1693494163.104539,77,-101.0
1693494220.848887,82,-125.46985626220703
1693494304.389301,89,-100.0
1693494369.535048,99,-100.0
1693494472.59729,103,-100.0
1693494480.639083,106,-100.0
1693494484.063449,107,-100.9985580444336
1693494594.571689,116,-100.98810577392578
1693494670.236178,121,-100.0
1693494721.001994,125,-89.04298400878906
1693494726.19416,126,-100.0
1693494763.841109,128,-100.0
1693494767.832761,130,-100.0
1693494817.340439,136,-100.0
1693494821.383738,137,-91.6947021484375
1693494905.475742,144,-100.0
1693494914.836467,146,-103.92262268066406
1693494916.669051,147,-100.0
1693494952.692505,150,-102.36846160888672
1693495075.932529,157,-100.0
1693495125.836951,160,-96.42405700683594
1693495153.829304,162,-87.00111389160156
1693495161.620756,164,-100.0
1693495223.836704,171,-100.0
1693495229.188624,172,-91.66622924804688
1693495316.423035,177,-100.0
1693495361.745573,184,-105.65693664550781
1693495416.203879,185,-109.87652587890625
1693495436.63459,186,-96.37118530273438
1693495543.396162,190,-100.0
1693495552.353715,191,-90.4697265625
1693495558.400408,192,-96.51990509033203
1693495813.010173,199,-87.24427795410156
1693495868.984498,202,-100.0
1693495908.195197,203,-98.44336700439453
1693495931.443489,204,-94.02827453613281
1693495961.440556,205,-76.04352569580078
1693496003.259895,207,-88.13666534423828
1693496085.131382,211,-101.57601165771484
1693496113.761808,213,-88.11466979980469
1693496141.224862,215,-109.19496154785156
1693496232.288816,220,-89.57626342773438
1693496251.729331,221,-92.031982421875
1693496384.579803,224,-80.98075866699219
1693496513.687589,229,-96.603271484375
1693496774.945214,244,-95.67919158935547
1693496805.614693,245,-85.2455062866211
1693496831.576045,246,-114.24575805664062
1693497178.332151,258,-99.71856689453125
1693497218.063555,259,-96.29899597167969
1693497244.250785,260,-99.4344711303711
1693497458.757052,271,-96.83935546875
1693497575.835718,274,-97.78837585449219
1693497645.132587,276,-72.61527252197266
1693497713.871231,278,-90.85266876220703
1693497818.44052,282,-94.4037857055664
1693497906.91984,285,-84.79693603515625
1693497983.9221,288,-93.10234832763672
1693498058.548793,290,-78.00153350830078
1693498178.629656,295,-83.3216781616211
1693498227.954183,297,-105.85730743408203
1693498246.562184,298,-89.37460327148438
1693498545.563406,306,-68.77529907226562
1693498659.937394,308,22.223894119262695
1693498820.930123,312,-57.47467803955078
1693499001.877633,316,-71.71977233886719
1693499036.805522,318,-86.12085723876953
1693499075.085927,319,-62.61346435546875
1693499172.94232,322,142.80191040039062
1693499762.20844,337,136.9178924560547
1693499781.959863,338,-79.79339599609375
1693499991.340894,343,-60.94866180419922
1693500042.841851,345,-50.18495559692383
1693500079.102089,346,153.0734100341797
1693500328.392603,352,151.24627685546875
1693500397.250801,354,-93.93843841552734
1693500573.057445,358,-57.99489974975586
1693500787.077366,364,145.4070281982422
1693500829.638699,365,143.14151000976562
1693500872.004765,366,-63.36497116088867
1693500906.990579,367,156.28353881835938
1693501335.348393,378,-68.2334213256836
1693501636.288027,386,159.70068359375
1693501778.730038,390,153.05722045898438
1693501844.307716,392,149.42044067382812
1693502020.163103,397,143.70236206054688
1693502218.998024,402,157.69622802734375
1693502273.69127,404,159.16697692871094
1693502634.827885,415,157.37147521972656
1693502836.940478,421,153.5102081298828
1693502870.1762,422,157.91537475585938
1693503019.379567,426,151.13250732421875
1693503347.152887,436,157.52012634277344
1693503375.478002,437,155.24844360351562
1693503429.194673,439,160.97459411621094
1693503565.637779,443,159.40005493164062
1693503597.786659,444,156.4178009033203
1693503648.315514,446,-86.97260284423828
1693503767.963669,450,160.74794006347656
1693503823.955215,452,159.98141479492188
1693503944.258283,456,159.29725646972656
1693504106.33077,461,158.6313934326172
1693504256.195024,465,153.45535278320312
1693504351.284394,468,-47.70953369140625
1693504402.953689,470,-105.8097152709961
1693504530.095508,474,156.3559112548828
1693504561.846092,475,158.83587646484375
1693504692.853828,480,-100.0
1693504720.087642,481,159.7194366455078
1693504935.05878,487,158.5661163330078
1693504997.543212,489,156.16954040527344
1693505157.101364,494,158.6859893798828
1693505265.724128,498,156.8012237548828
1693505587.643332,509,-106.32122802734375
1693505632.250386,510,158.86920166015625
1693505663.964876,511,155.7675323486328
1693505694.359559,512,158.17115783691406
1693505726.080298,513,159.20901489257812
1693505759.40158,514,158.8587188720703
1693505854.618712,517,158.7174072265625
