Wall time,Step,Value
1694451301.478588,4,-104.0
1694451389.06763,14,-95.03234100341797
1694451395.449135,15,-100.0
1694451400.837064,18,-100.0
1694451413.447208,19,-106.32081604003906
1694451428.977377,22,-98.42899322509766
1694451444.879828,26,-101.00008392333984
1694451486.190395,27,-130.157470703125
1694451532.66217,40,-100.0
1694451557.262382,47,-100.0
1694451563.061673,48,-100.0
1694451566.321683,49,-101.0020523071289
1694451585.399382,54,-100.0
1694451600.604169,62,-100.0
1694451606.234358,63,-90.24653625488281
1694451680.742049,66,-100.0
1694451682.567169,67,-100.0
1694451739.866098,70,-100.0
1694451741.686244,71,-100.0
1694451773.575051,77,-101.0
1694451792.409786,82,-100.98722839355469
1694451805.954353,89,-100.0
1694451870.333977,99,-100.0
1694451890.642637,103,-100.0
1694451912.193907,106,-100.0
1694451914.035628,107,-100.0
1694451968.79084,116,-100.0
1694451979.866891,121,-100.0
1694451993.788323,125,-96.74884796142578
1694452007.096428,126,-99.54534149169922
1694452014.041939,128,-100.0
1694452030.129069,130,-100.0
1694452047.482741,136,-95.25493621826172
1694452052.725137,137,-100.0
1694452088.882442,144,-100.0
1694452105.037166,146,-94.36721801757812
1694452109.859449,147,-101.00003814697266
1694452123.557531,150,-104.0
1694452193.982614,157,-100.0
1694452276.092402,160,-99.24130249023438
1694452298.1789,162,-101.0005874633789
1694452313.365659,164,-100.0
1694452416.122919,171,-100.0
1694452437.616868,172,-111.6000747680664
1694452490.376074,177,-110.33132934570312
1694452617.191569,184,-98.53520965576172
1694452627.336856,185,-89.5460205078125
1694452657.826619,186,-95.80171966552734
1694452721.578893,190,-110.83000946044922
1694452742.381474,191,-103.38871765136719
1694452764.123368,192,-105.42964172363281
1694452863.052887,199,-91.6771469116211
1694452895.227073,202,-90.8330078125
1694452918.632046,203,-99.07635498046875
1694452925.456383,204,-100.0
1694452957.333261,205,-61.87001037597656
1694453025.547218,207,-85.01043701171875
1694453104.200452,211,-81.96026611328125
1694453158.549987,213,-50.885921478271484
1694453209.136573,215,-54.24475860595703
1694453279.079898,220,-84.67123413085938
1694453311.247737,221,-68.739013671875
1694453403.474254,224,-71.11705017089844
1694453525.075296,229,-94.08013153076172
1694454057.640683,244,151.7864227294922
1694454091.259969,245,154.27011108398438
1694454125.812208,246,153.9479522705078
1694454435.035746,258,-100.0
1694454449.738605,259,-81.36087036132812
1694454486.684846,260,149.38204956054688
1694454818.950557,271,163.0367431640625
1694454930.675327,274,146.9281768798828
1694454987.626426,276,-112.87675476074219
1694455046.597132,278,160.37091064453125
1694455188.28501,282,156.1921844482422
1694455288.046738,285,156.8688507080078
